GENE;L-O-1;L-O-2;L-O-3;D-O-1;D-O-2;D-O-3;D-A-4;D-A-5;D-A-2
cds2458-hypothetical-protein;272;47;1208;1455;458;421;1908;3725;1181
cds2459-hypothetical-protein;229;45;761;592;386;323;1036;3033;501
cds245-bifunctional-phosphoribosylaminoimidazolecarboxamide-formyltransferase/IMP-cyclohydrolase;556;64;1475;2291;443;444;2080;5314;1933
cds2460-hypothetical-protein;211;29;703;1111;295;254;990;2740;782
cds2461;243;44;717;627;261;230;963;2285;711
cds2462;209;48;751;517;324;381;815;3229;777
cds2463-hypothetical-protein-DCF23_09520;113;3;389;576;99;157;681;1808;437
cds2464;395;43;1432;2510;554;461;3345;6453;1865
cds2465;64;5;169;300;36;78;275;305;146
cds2466;72;9;229;469;88;78;615;1017;265
cds2467;121;14;481;801;134;171;878;2020;459
cds2468;89;6;235;333;76;71;314;608;247
cds2469;103;24;334;466;74;86;341;674;324
cds246-alpha/beta-fold-hydrolase;298;52;992;1132;336;285;1138;3461;1375
cds2470;172;11;533;636;107;152;842;1655;467
cds2471;710;86;1079;1037;224;191;1393;3188;598
cds2472-alpha-amylase;693;59;1292;2401;345;327;2285;3609;1179
cds2473;339;29;1410;2006;474;484;2076;5105;1700
cds2474-transposase,-partial;396;39;1168;1871;378;436;1776;3855;1722
cds2475;64;12;175;367;63;61;357;659;290
cds2476-Transposase;291;68;919;970;391;326;1493;4611;1032
cds2477;65;5;155;368;71;76;409;676;188
cds2478;3211;279;4956;591;154;196;679;935;391
cds2479;149;13;196;131;27;19;115;275;47
cds247-DUF3155-domain-containing-protein;1793;439;3145;1233;444;419;1625;3748;1276
cds2480;250;23;726;1315;152;192;941;1944;808
cds2481;3924;501;5063;2867;898;783;4083;8523;1782
cds2482;576;139;1201;609;293;284;889;2693;623
cds2483;246;24;683;698;407;337;1429;2847;589
cds2484;65;11;226;279;49;59;360;764;187
cds2485-peptidoglycan-binding-protein;1719;360;4502;3975;1656;1501;6419;15536;3454
cds2486;369;83;909;898;233;225;1204;3072;533
cds2487;1366;289;2141;1406;353;276;1975;4825;1031
cds2488;1118;227;1808;980;201;178;1088;2145;549
cds2489-N-acetylmuramoyl-L-alanine-amidase;1338;340;1457;1278;220;218;1594;2860;832
cds248-HAMP-domain-containing-histidine-kinase;495;78;1435;1714;460;485;1962;4361;1653
cds2490;417;67;1146;1536;326;336;1723;3880;1110
cds2491;2090;325;1347;410;79;85;456;914;237
cds2492;5758;527;4139;938;228;268;1275;3567;585
cds2493;18201;1408;12319;1214;439;667;1442;2617;578
cds2494;798;437;1986;794;238;274;620;1470;702
cds2495;291;30;878;1045;284;253;1161;2322;871
cds2496;85;5;260;500;81;114;357;905;303
cds2497-ISAs1-family-transposase;202;13;528;1056;118;189;717;1998;723
cds2498;2794;280;4495;936;396;337;1175;2473;485
cds2499;315;74;686;746;176;180;924;1872;612
cds249-adenosylcobinamide-GDP-ribazoletransferase;350;48;1142;1731;473;454;2073;6143;1822
cds24-GNAT-family-N-acetyltransferase;561;50;1498;2155;517;451;2102;5829;1757
cds2500-DNA-recombination-protein-RmuC;648;108;1989;2642;799;704;3906;9064;1791
cds2501;134;25;333;445;58;89;355;621;291
cds2502;395;65;1367;1975;337;348;1803;3467;1456
cds2503;37;5;158;246;38;51;233;596;174
cds2504-transposase,-partial;355;33;1193;1846;386;408;1759;3814;1713
cds2505;60;1;83;162;21;33;74;143;124
cds2506-transposase;233;12;641;752;176;221;554;1229;814
cds2507;427;39;697;610;191;178;893;2166;483
cds2508;743;64;1063;591;161;145;771;2321;450
cds2509;238;14;419;669;117;131;761;1599;433
cds250-tRNA-guanosine(34)-transglycosylase-Tgt;838;128;2115;3004;815;731;3640;8432;2653
cds2510;213;39;500;449;220;201;980;2547;441
cds2511;237;18;900;1245;279;295;1261;3330;1222
cds2512-cytochrome-P450;492;41;1874;2623;621;569;2851;7256;2202
cds2513;211;40;736;1323;205;223;955;2232;917
cds2514;164;20;472;733;214;196;952;2460;627
cds2515-hypothetical-protein;905;135;2692;2862;1081;818;4232;11137;2982
cds2516;788;178;2116;1502;653;731;2574;8050;1522
cds2517;88;8;196;431;55;90;236;632;227
cds2518-hypothetical-protein-CPCC7001_374;207;15;612;1250;156;182;875;1720;779
cds2519-hypothetical-protein;223;26;566;754;142;196;579;1467;627
cds251-photosystem-II-reaction-center-protein-K;1412;242;1100;471;180;160;649;1599;419
cds2520;517;91;792;1120;224;256;1093;2143;972
cds2521;1168;166;3615;5186;1455;1361;6802;17660;4466
cds2522-DUF2399-domain-containing-protein;831;94;2316;3581;754;791;3898;8160;2605
cds2523;277;47;528;295;28;39;217;319;141
cds2524;1086;322;2575;248;92;52;124;204;125
cds2525-SMC-family-ATPase;1312;185;3697;5470;1383;1323;5959;14456;4669
cds2526-exonuclease-SbcCD-subunit-D;425;55;1147;1883;333;362;1642;3883;1406
cds2527-TIGR01458-family-HAD-type-hydrolase;344;64;1208;1584;348;350;1618;3169;1367
cds2528-hypothetical-protein-WH5701_11064;337;44;701;510;109;175;496;1000;423
cds2529-endoribonuclease-L-PSP;200;27;511;677;161;124;526;1353;653
cds252-WecB/TagA/CpsF-family-glycosyltransferase;623;146;1636;1665;475;406;2162;4828;1531
cds2530-ABC-transporter-ATP-binding-protein;671;72;1784;2232;584;613;2608;6191;2028
cds2531-hydroxyacylglutathione-hydrolase;421;54;1052;1520;334;286;1469;3929;1435
cds2532-ATP-phosphoribosyltransferase;236;30;740;1187;371;211;1360;3537;743
cds2533-ABC-transporter-ATP-binding-protein;863;106;2400;3094;725;741;3194;7625;2235
cds2534-alpha/beta-hydrolase;325;25;946;1406;276;274;1252;2935;1199
cds2535-possible-acetyltransferase;265;33;593;844;182;153;826;1788;710
cds2536-glycosyltransferase;272;30;754;1343;212;245;1207;3365;1211
cds2537-hypothetical-protein-WH5701_11274;213;37;814;1020;329;351;1360;3622;1339
cds2538-PDZ-domain-containing-protein;453;67;1280;2274;367;407;2377;5116;1713
cds2539-chromosomal-replication-initiation-protein;935;253;2322;2709;689;615;3335;6903;2131
cds253-phosphorylase-kinase;1749;249;4005;5724;1153;1166;5619;13554;4770
cds2540-CbbX-protein;450;95;1232;1487;238;298;1569;3100;1063
cds2541-pterin-4-alpha-carbinolamine-dehydratase;92;11;261;496;96;72;567;1103;296
cds2542-CO2-hydration-protein;632;107;2192;2937;904;701;4092;8972;2361
cds2543-NADH-quinone-oxidoreductase-subunit-M;651;90;2324;3458;989;886;4561;10692;3165
cds2544-NAD(P)H-quinone-oxidoreductase-subunit-F;707;96;2051;3178;767;643;3287;8130;2504
cds2545-bacterioferritin;152;47;372;564;106;121;424;689;528
cds2546;165;36;336;473;78;99;279;683;382
cds2547;1518;335;2870;1601;682;670;2230;6710;1646
cds2548-carboxysome-peptide-B;775;183;916;434;182;106;670;2265;462
cds2549-carboxysome-peptide-A;244;80;396;409;66;61;416;803;322
cds254-Gfo/Idh/MocA-family-oxidoreductase;652;209;1607;2008;371;431;1965;3792;1396
cds2550-carboxysome-shell-carbonic-anhydrase;882;192;2187;2551;639;635;2779;7568;2253
cds2551-carboxysome-shell-protein;7069;1639;8211;5989;2021;1698;7098;19180;5118
cds2552-ribulose-bisphosphate-carboxylase-small-subunit;2108;299;1364;618;176;198;690;1543;597
cds2553-form-I-ribulose-bisphosphate-carboxylase-large-subunit;11427;3183;8838;2570;474;500;2135;4801;1791
cds2554-BMC-domain-containing-protein;4328;748;2949;584;73;89;426;1073;351
cds2555-ferredoxin:protochlorophyllide-reductase-(ATP-dependent)-subunit-N;559;75;1416;2108;446;464;2057;4639;1844
cds2556-ferredoxin:protochlorophyllide-reductase-(ATP-dependent)-subunit-B;1645;343;2503;3013;622;553;3006;7709;2176
cds2557-light-independent-protochlorophyllide-reductase,-iron-sulfur-ATP-binding-protein;896;392;1863;1340;261;290;1231;2817;995
cds2558-hypothetical-protein;222;51;753;1142;227;242;1034;2961;1002
cds2559-hypothetical-protein;200;92;444;812;146;173;956;1844;560
cds255-HlyC/CorC-family-transporter;745;90;1496;2301;393;454;1908;4538;1804
cds2560-protochlorophyllide-reductase;866;213;1489;2052;374;394;2221;4611;1474
cds2561-hypothetical-protein;1197;137;1274;749;86;142;500;998;547
cds2562-photosystem-I-reaction-center-subunit-XII;273;40;386;411;94;90;398;607;299
cds2563-DUF1817-domain-containing-protein;245;23;731;963;217;218;985;2335;711
cds2564-sulfite-exporter-TauE/SafE-family-protein;351;55;1272;1422;480;547;1738;3420;1553
cds2565-biotin/lipoate-A/B-protein-ligase-family-protein;237;30;742;957;202;298;852;1990;895
cds2566-site-2-protease-family-protein;538;145;1703;2018;481;477;2207;5501;1933
cds2567-phosphoribosylanthranilate-isomerase;1991;592;4739;2408;897;731;3441;8307;2215
cds2568-GTP-cyclohydrolase-I;4829;1827;10283;1145;995;522;1376;3182;946
cds2569-SDR-family-oxidoreductase;1031;187;2279;1195;437;293;1221;2570;1032
cds256-glutamine--fructose-6-phosphate-transaminase-(isomerizing);933;95;2587;3472;802;846;3892;9342;2837
cds257;75;2;190;210;63;51;275;785;206
cds2570-acetyl-CoA-carboxylase-carboxyltransferase-subunit-alpha;537;111;1238;1624;276;301;1422;3096;1166
cds2571-long-chain-acyl-;1767;591;3386;1890;423;402;1714;3527;1298
cds2572-aldehyde-oxygenase-(deformylating);1516;414;2009;1439;342;318;1360;3023;1240
cds2573-creatininase-family-protein;393;60;1107;1239;453;388;1499;2939;1378
cds2574-30S-ribosomal-protein-S1;1860;557;3058;2620;557;632;2559;5501;2168
cds2575-DUF1092-family-protein;525;91;1323;1914;478;412;2007;4780;1592
cds2576-peptidoglycan-editing-factor-PgeF;315;27;769;1228;231;294;1032;2512;1215
cds2577-FAD-dependent-oxidoreductase;620;73;1821;2814;666;503;2931;6370;2399
cds2578-hypothetical-protein-WH5701_11474;142;9;435;432;112;126;488;1509;410
cds2579-MBL-fold-metallo-hydrolase;280;34;783;1176;242;239;1359;3276;983
cds2580-hypothetical-protein;567;118;1184;1325;223;235;1570;2676;874
cds2581-glutathione-disulfide-reductase;2208;674;4753;3375;1090;840;4260;10979;2646
cds2582-response-regulator-transcription-factor;385;50;1048;1373;237;277;1305;2656;1018
cds2583-ferritin;1841;375;2522;1035;216;180;868;1798;696
cds2584-hypothetical-protein;181;49;696;701;154;128;625;1662;528
cds2585-NAD(P)/FAD-dependent-oxidoreductase;1524;449;3623;1983;439;383;2340;4900;1774
cds2586-acyltransferase-family-protein;273;30;1027;1553;356;308;1591;4388;1272
cds2587-hypothetical-protein;189;21;430;699;118;113;630;1308;593
cds2588-cysteine-synthase-A;360;76;911;1665;255;301;1513;3520;1088
cds2589-putative-CaCA-family,-sodium/calcium-exchanger;519;81;1428;1998;427;443;2214;5139;1393
cds258-photosystem-I-iron-sulfur-center-protein-PsaC;655;89;585;492;87;84;452;736;391
cds2590-SulP-family-inorganic-anion-transporter;1526;137;1859;3134;455;549;3148;6415;2203
cds2591-hypothetical-protein-WH5701_11544;103;10;427;404;154;160;574;1378;320
cds2592-GTP-binding-protein;726;122;1593;2199;459;568;2096;4462;1526
cds2593;581;90;1574;2415;528;531;2463;6682;1989
cds2594-ABC-transporter,-substrate-binding-protein,-possibly-Mn;400;50;1271;1835;402;400;1957;4659;1750
cds2595-ABC-transporter-ATP-binding-protein;265;25;724;1150;254;252;1016;2214;1006
cds2596-transcriptional-repressor;184;21;381;500;140;164;772;1205;565
cds2597-metal-ABC-transporter-permease;400;27;1312;1909;506;445;1858;4216;1688
cds2598-hypothetical-protein;493;85;1815;2395;578;549;2597;5315;1780
cds2599;267;53;775;1056;250;267;1207;2826;1038
cds259-MULTISPECIES:-acyl-carrier-protein;835;295;524;490;65;82;432;1002;374
cds25-hypothetical-protein;130;18;547;618;184;156;648;1595;604
cds26;112;13;342;503;134;96;556;1430;425
cds2600;50;10;168;240;51;51;215;604;197
cds2601-hypothetical-protein;391;47;1130;1493;356;431;1540;3741;1357
cds2602-6-carboxytetrahydropterin-synthase;131;14;396;620;106;113;488;795;351
cds2603-bifunctional-phosphoribosyl-AMP-cyclohydrolase/phosphoribosyl-ATP-diphosphatase-HisIE;246;34;706;1298;244;216;1367;3142;994
cds2604;79;10;213;323;78;70;343;798;356
cds2605;171;20;576;826;227;248;948;2143;755
cds2606-hypothetical-protein-WH5701_11624;262;64;775;816;223;197;884;2491;809
cds2607-sigma-70-family-RNA-polymerase-sigma-factor;671;258;6249;1601;420;534;1328;2700;1133
cds2608-DUF1232-domain-containing-protein;500;308;2288;911;436;267;1215;2906;720
cds2609-hypothetical-protein;193;65;661;610;150;104;551;1621;519
cds260-beta-ketoacyl-;3518;743;4228;2486;419;469;2061;3838;1777
cds2610;254;35;626;628;220;187;885;2688;463
cds2611-hypothetical-protein;261;98;599;812;199;160;870;1772;636
cds2612-Nif11-domain/cupin-domain-containing-protein;375;142;1023;981;268;175;971;2266;820
cds2613-GNAT-family-N-acetyltransferase;254;41;726;1156;240;299;1241;2451;1041
cds2614-DUF3136-domain-containing-protein;293;31;665;686;223;198;871;2600;588
cds2615-cytochrome-C6;283;56;452;881;254;166;851;2675;782
cds2616-hypothetical-protein;106;49;415;286;185;135;788;1628;379
cds2617-hypothetical-protein;208;40;622;775;263;250;1273;2923;696
cds2618;126;8;268;594;81;98;457;811;299
cds2619-ferrous-iron-transport-protein-B;575;53;1735;3030;516;574;2659;6298;2465
cds261-transketolase;8223;1747;8160;4673;1076;971;5270;12812;3782
cds2620-DUF938-domain-containing-protein;396;51;790;1097;257;221;781;2084;874
cds2621-tryptophan-synthase-subunit-alpha;480;106;1361;1845;452;446;2332;5480;1855
cds2622-DUF3007-family-protein;205;49;584;921;192;187;1000;2074;663
cds2623-NAD(P)H-quinone-oxidoreductase-subunit-L;158;25;398;516;88;115;485;982;363
cds2624-hypothetical-protein;235;41;704;1117;238;206;994;3116;725
cds2625;553;213;1887;1931;823;728;2760;7202;1641
cds2626-hypothetical-protein-WH5701_11734;2491;361;2836;436;135;129;673;1640;391
cds2627;176;30;528;763;189;117;810;2313;620
cds2628-transglutaminase-family-protein;1615;354;3193;1817;455;410;2291;5497;1697
cds2629-sensor-domain-containing-diguanylate-cyclase;528;120;1573;1705;306;323;1478;2697;1206
cds262-glycosyltransferase-family-2-protein;547;68;1407;2054;517;465;2244;5734;1594
cds2630-PQQ-dependent-sugar-dehydrogenase;490;85;1513;2097;461;434;1993;5272;1561
cds2631-hypothetical-protein;192;17;618;876;144;151;796;2014;710
cds2632-fumarate-reductase/succinate-dehydrogenase-flavoprotein-subunit;814;156;2511;3433;835;883;3542;9319;3152
cds2633-succinate-dehydrogenase/fumarate-reductase-iron-sulfur-subunit;362;16;865;1409;282;301;1131;2415;1080
cds2634;642;116;1644;2064;492;499;2385;5776;1888
cds2635-sodium:proton-antiporter;744;154;1797;2855;516;585;2872;7251;1802
cds2636;429;88;1445;1936;454;421;2297;5303;1592
cds2637-potassium-transporter-TrkG;553;56;1357;2372;417;500;2110;4950;1981
cds2638-amino-acid-ABC-transporter-substrate-binding-protein;547;71;1513;2187;417;420;2052;4826;1676
cds2639-ABC-transporter-permease-subunit;438;68;1134;1935;423;320;2168;4574;1478
cds263-glycosyltransferase;4920;284;4581;1563;275;262;1545;3120;842
cds264;206;19;414;794;109;117;550;1151;491
cds2640-amino-acid-ABC-transporter-permease;586;63;1577;2277;622;654;2537;7821;2032
cds2641-amino-acid-ABC-transporter-ATP-binding-protein;393;70;1032;1489;353;364;1434;3328;1071
cds2642-ABC-transporter-permease-subunit;686;56;1997;3032;673;641;3069;7261;2408
cds2643-P-II-family-nitrogen-regulator;362;79;817;845;146;181;923;1815;521
cds2644;175;30;360;705;103;119;585;1337;400
cds2645;87;32;317;291;52;64;274;599;158
cds2646;454;111;690;211;38;42;195;395;162
cds2647-hypothetical-protein;603;112;1279;538;45;63;380;916;263
cds2648-hypothetical-protein;245;14;787;980;143;164;876;1839;669
cds2649-mechanosensitive-ion-channel-family-protein;398;83;1439;1335;270;318;1756;4372;841
cds2650-patatin-family-protein;534;48;1181;1760;242;288;1843;4083;1003
cds2651-hypothetical-protein;400;97;1215;1769;328;344;2106;4172;1220
cds2652-mechanosensitive-ion-channel-family-protein;550;107;1344;1817;320;404;1695;4292;1072
cds2653-fasciclin-domain-containing-protein;470;92;763;747;140;136;637;1796;571
cds2654-CO2-hydration-protein;913;163;1968;1968;471;430;2389;5034;1492
cds2655-NADH-quinone-oxidoreductase-subunit-M;760;112;2530;3205;1043;934;4164;11300;2761
cds2656-NAD(P)H-quinone-oxidoreductase-subunit-F;783;111;2646;3407;993;920;4589;10938;2947
cds2657-HAD-family-hydrolase;936;106;2845;4750;973;1068;4167;10756;3577
cds2658-phosphoenolpyruvate-synthase;1610;388;3588;4337;905;990;4805;10082;3401
cds2659;949;176;1903;2513;539;532;2608;5919;2186
cds265-integrase-family-protein;495;42;1387;2561;443;528;2465;5444;1882
cds266;218;27;561;829;215;196;1196;2344;638
cds2660-hypothetical-protein;1682;436;2784;978;158;210;997;1812;664
cds2661;393;130;608;444;135;118;555;1234;391
cds2662-hypothetical-protein;237;51;468;724;142;174;696;1672;475
cds2663-biosynthetic-type-acetolactate-synthase-large-subunit;2289;568;3615;3980;808;914;4135;8672;3363
cds2664-M23-family-metallopeptidase;248;34;720;1087;288;294;1260;3248;1056
cds2665-ferrochelatase;1049;358;1815;2051;363;415;1985;3142;1644
cds2666;259;20;778;1106;247;228;1048;3128;1072
cds2667;124;59;776;830;209;201;852;1786;786
cds2668-cob(I)yrinic-acid-a,c-diamide-adenosyltransferase;785;264;1939;1618;631;559;2287;5696;1444
cds2669-UMP-kinase;703;137;1367;1643;297;298;1397;2852;1225
cds2670-ribosome-recycling-factor;692;172;1670;1794;681;525;2457;6772;1626
cds2671-geranylgeranyl-reductase-family-protein;617;127;1784;1821;519;502;2396;6034;1846
cds2672-Crp/Fnr-family-transcriptional-regulator;137;14;327;504;90;115;554;1429;370
cds2673-transaldolase;988;321;2266;2054;413;487;1940;4043;1337
cds2674-penicillin-binding-protein-2;815;128;2441;3227;834;807;3934;9274;2706
cds2675-hypothetical-protein-WH5701_11949;296;51;1067;1278;302;354;1606;4108;1114
cds2676-Possible-membrane-associated-protease;859;151;2168;2945;777;705;3485;7517;2503
cds2677-histidine-phosphatase-family-protein;668;88;1671;2766;610;638;3082;6900;2707
cds2678;237;17;682;729;177;226;674;1068;773
cds2679;286;33;845;1561;280;338;1329;3510;1276
cds267-hypothetical-protein-WH5701_14046;294;79;1139;1031;479;347;1389;4146;995
cds2680-signal-peptidase-I;387;51;1265;1489;442;415;2156;4880;1411
cds2681-hypothetical-protein;778;99;1697;2494;490;515;2716;6278;1941
cds2682-Spx/MgsR-family-RNA-polymerase-binding-regulatory-protein;203;48;491;504;106;119;491;1289;465
cds2683-(2Fe-2S)-binding-protein;270;59;476;717;125;100;556;1341;456
cds2684-class-I-SAM-dependent-methyltransferase;297;79;1286;1576;386;358;1581;4747;1213
cds2685-inorganic-diphosphatase;190;46;592;816;130;174;796;1879;489
cds2686;1175;331;2880;1423;835;777;2024;7012;1391
cds2687-hypothetical-protein-WH5701_11999;305;43;1017;1155;371;322;1504;2936;988
cds2688-proline--tRNA-ligase;1304;161;2756;3490;768;789;3342;7938;2985
cds2689-possible-photosystem-II-Psb27-protein;820;176;946;760;131;127;640;1551;521
cds268-transposase;390;47;1269;2391;465;412;2230;5369;1886
cds2690-adenylosuccinate-synthase;1205;325;2498;2379;510;467;2492;5155;1872
cds2691-adenosine-kinase;365;57;1036;1211;335;292;1231;2783;1141
cds2692-precorrin-6A/cobalt-precorrin-6A-reductase;305;42;831;1129;282;341;1087;2614;1364
cds2693-hypothetical-protein-WH5701_12029;753;222;1822;1547;366;373;1881;4895;1516
cds2694-hypothetical-protein;169;45;345;329;54;52;414;762;228
cds2695-DUF2854-domain-containing-protein;608;123;1355;1476;440;387;1680;3762;1425
cds2696-acetylglutamate-kinase;927;248;1935;1931;526;462;2289;6475;1769
cds2697-hypothetical-protein-WH5701_12049;447;65;1403;2070;429;507;2242;5570;1869
cds2698-primosomal-protein-N';736;71;2222;3213;665;741;3145;7399;2974
cds2699-RNA-polymerase-sigma-factor-RpoD;3675;1023;6308;3744;540;559;2796;7374;2051
cds269-hypothetical-protein;77;12;231;309;49;67;274;668;258
cds270;1154;196;2583;2711;738;658;3886;9231;1779
cds2700-glycosyltransferase-family-39-protein;942;109;2661;3768;1019;953;4255;11681;2923
cds2701-phosphatase-PAP2-family-protein;316;48;751;1363;173;209;1236;2940;966
cds2702-DUF1824-family-protein;309;105;873;978;286;307;1067;3215;1007
cds2703-hydroxymethylbilane-synthase;1178;419;1652;1564;273;378;1309;3295;1210
cds2704-chloride-channel-protein;886;147;2865;3878;902;911;4268;11087;3391
cds2705;1037;250;2596;2004;1012;951;3167;9615;2045
cds2706-inorganic-diphosphatase;1407;209;1355;1055;249;135;1039;1774;680
cds2707-carboxypeptidase-M32;804;107;2669;2903;1194;1067;3721;10476;2911
cds2708-OsmC-family-peroxiredoxin;261;39;614;793;151;162;817;2176;610
cds2709-DUF2721-domain-containing-protein;198;18;571;1134;166;177;996;1341;613
cds2710-response-regulator-transcription-factor;336;45;838;1249;298;318;1119;2454;1171
cds2711;108;20;370;409;74;96;450;941;413
cds2712-YjbQ-family-protein;183;20;602;912;154;179;838;1694;699
cds2713-DoxX-family-protein;320;53;1004;1326;370;366;1599;4873;1033
cds2714-hypothetical-protein-WH5701_10754;48;5;203;196;24;22;182;290;134
cds2715;101;2;228;684;48;76;473;941;335
cds2716-hypothetical-protein;62;2;185;319;57;54;179;323;370
cds2717-hypothetical-protein;72;5;186;538;41;60;301;612;346
cds2718;132;8;262;474;62;94;287;637;312
cds2719;140;18;375;730;93;125;652;1309;486
cds271-transposase;117;7;254;416;81;92;465;746;414
cds272;195;13;526;719;175;167;683;1647;591
cds2720;67;3;167;293;41;51;218;511;216
cds2721;65;11;172;323;81;70;257;529;482
cds2722;688;85;1964;3082;668;673;2770;6334;2809
cds2723;117;10;279;436;99;72;403;974;497
cds2724-hypothetical-protein;214;34;581;1054;198;183;1017;2172;803
cds2725-glycosyltransferase;1000;174;2229;2638;504;529;2686;6452;2117
cds2726;348;51;1242;1331;370;314;1700;3118;1422
cds2727-DUF1295-domain-containing-protein;579;126;1604;1127;216;178;1351;3063;518
cds2728;432;89;1448;694;142;125;964;2572;548
cds2729;687;310;2035;1815;433;398;2053;5022;1594
cds2730;466;316;999;602;126;123;780;2005;443
cds2731-hypothetical-protein;355;72;1190;1325;449;395;1444;3301;1116
cds2732;85;6;192;259;42;60;254;435;216
cds2733-deoxyribodipyrimidine-photo-lyase;503;40;1302;2336;497;557;1978;4702;1923
cds2734-hypothetical-protein-Cyagr_1716;409;43;1061;1476;327;369;1164;2671;1111
cds2735-deoxyribodipyrimidine-photo-lyase;591;44;1444;2463;493;602;2353;5462;2050
cds2736-MBL-fold-metallo-hydrolase;427;62;1154;2011;355;383;2091;4937;1257
cds2737;464;93;551;230;69;62;324;276;211
cds2738-mechanosensitive-ion-channel;469;76;878;878;155;112;1036;1890;418
cds2739;172;10;571;790;136;143;935;1459;583
cds273-IS5-family-transposase,-partial;563;50;1516;2446;552;542;2467;5365;1495
cds2740;37;3;139;258;32;27;174;432;181
cds2741;189;37;580;717;170;165;998;2676;496
cds2742;622;106;975;878;264;227;1247;3089;621
cds2743;207;40;569;910;236;256;1106;3039;632
cds2744;421;63;1133;1688;352;312;1844;3942;1044
cds2745-hypothetical-protein;566;45;783;1105;209;195;1225;2249;805
cds2746-YbhB/YbcL-family-Raf-kinase-inhibitor-like-protein;607;205;1323;1412;557;473;2024;5551;1566
cds2747-high-light-inducible-protein;205;41;346;485;150;120;612;1401;452
cds2748-hypothetical-protein;97;11;301;434;101;97;447;943;354
cds2749-metallophosphoesterase;353;25;904;1250;270;323;995;2664;1249
cds274-IS3-family-transposase;413;43;1035;1923;272;367;1517;2806;1104
cds275;91;18;260;374;56;61;498;890;344
cds2750-isopenicillin-N-synthase-family-oxygenase;520;65;1706;1884;688;629;2484;5271;2058
cds2751-SAM-dependent-methyltransferase;389;48;1254;1758;541;572;2148;5346;1787
cds2752;183;20;576;442;204;158;838;1957;650
cds2753-TPM-domain-containing-protein;642;193;1354;1654;303;315;1742;4147;1195
cds2754-hypothetical-protein;670;113;1506;1734;509;517;2291;5244;1354
cds2755-hypothetical-protein;419;58;1243;2114;444;453;2261;6408;1742
cds2756-TIGR04168-family-protein;250;24;812;1175;190;266;941;2034;952
cds2757-quinolinate-synthase-NadA;269;22;639;1505;222;284;1212;2562;1059
cds2758-fructose-bisphosphate-aldolase-class-I;484;56;1397;2032;562;549;2413;6132;1932
cds2759;377;40;1185;1659;399;299;1959;4387;1510
cds2760;116;15;402;616;122;99;770;1830;505
cds2761;460;82;1143;1495;307;306;1316;2643;1044
cds2762-hypothetical-protein;155;19;414;580;70;108;449;949;334
cds2763;300;36;483;509;90;92;542;1065;277
cds2764-hypothetical-protein;798;86;2403;4400;703;807;4258;8718;2969
cds2765-transposase;665;88;1223;1438;296;286;1190;2318;1007
cds2766-chalcone-synthase;355;40;1107;1571;330;337;1598;4292;1495
cds2767-FAD-binding-protein;517;84;1625;2316;701;715;2620;6419;1989
cds2768-methyltransferase-domain-containing-protein;332;47;1029;1514;412;337;1532;4267;1271
cds2769-hypothetical-protein;2341;617;3828;1025;427;388;1291;2887;825
cds276-phosphomethylpyrimidine-synthase-ThiC;2135;401;2934;3121;553;521;2942;6460;2052
cds27-6-pyruvoyl-tetrahydropterin-synthase-like-protein;882;185;2187;2245;539;479;2839;6523;1811
cds2770;851;109;1923;2405;539;465;2367;5256;2038
cds2771;447;42;1333;2337;484;463;2331;5562;1991
cds2772-DUF4178-domain-containing-protein;214;28;687;1191;209;253;1077;2863;1078
cds2773-polyamine-aminopropyltransferase;638;41;1699;2825;536;626;2173;6197;2613
cds2774-hypothetical-protein;64;5;207;321;89;86;318;1054;282
cds2775;106;11;277;552;102;74;478;1278;474
cds2776;295;35;782;1370;330;298;1480;3613;1115
cds2777-DUF350-domain-containing-protein;104;10;198;392;78;105;406;859;374
cds2778-ligase-associated-DNA-damage-response-DEXH-box-helicase;733;83;2366;4065;834;863;4537;10007;3407
cds2779;67;11;214;311;63;58;356;695;237
cds277-hypothetical-protein;315;21;955;1333;307;261;1174;3024;986
cds2780-hypothetical-protein;168;37;569;525;144;143;717;1486;424
cds2781-hypothetical-protein;133;14;370;615;121;112;719;1189;558
cds2782;416;40;1110;1649;497;529;1778;5403;1719
cds2783;359;37;1085;2181;399;434;2068;4976;1701
cds2784-glutathione-S-transferase-family-protein;258;26;919;1320;340;317;1663;3864;1286
cds2785-ligase-associated-DNA-damage-response-endonuclease-PdeM;176;19;664;782;246;216;903;1909;897
cds2786-CBS-domain-containing-protein;257;51;615;827;136;150;588;1292;547
cds2787-CDP-alcohol-phosphatidyltransferase-family-protein;279;12;768;983;267;228;904;2152;1102
cds2788-Possible-nucleotide-sugar-epimerase;422;39;1203;1828;392;481;1975;4751;1569
cds2789;80;16;274;473;90;104;412;723;340
cds278-DUF3188-domain-containing-protein;68;6;121;244;53;66;166;460;139
cds2790-1-(5-phosphoribosyl)-5-;393;39;1178;1899;406;340;2021;4508;1469
cds2791-transcriptional-repressor;781;190;1888;1366;409;286;1484;3742;1003
cds2792-DUF3685-domain-containing-protein;603;62;1600;2339;541;503;2234;4748;2284
cds2793-hypothetical-protein;260;35;940;1221;342;318;1451;3637;987
cds2794;77;9;336;433;138;131;572;1861;451
cds2795-class-II-fumarate-hydratase;553;46;1379;2385;414;480;1824;3806;1553
cds2796;90;10;271;379;83;85;504;1058;285
cds2797;3315;1685;7343;2275;1308;985;3065;8661;1880
